Age,Gender,Region,NetworkCoverage,InternetSpeed,CustomerSupport,AppExperience,PlanSatisfaction,CallQuality,Duration,FeedbackText,SatisfactionScore
56,Male,Karnataka,8,1,4,6,8,6,9.2,Call quality could be better.,48
50,Male,Andhra Pradesh,3,3,9,5,4,5,4.3,Great experience overall.,57
42,Female,Telangana,7,2,10,2,5,3,4.8,Great experience overall.,56
45,Male,Kerala,3,5,1,8,5,1,7.7,Signal drops frequently in my area.,37
30,Male,Kerala,1,3,7,3,1,5,0.9,Poor network coverage indoors.,36
20,Male,Andhra Pradesh,2,2,6,7,9,9,4.7,Customer support is very helpful.,54
62,Female,Andhra Pradesh,5,4,3,6,10,1,4.0,Signal drops frequently in my area.,55
57,Female,Telangana,5,8,6,5,9,7,4.2,I am satisfied with my plan.,73
22,Male,Kerala,2,4,6,1,9,2,4.8,I am satisfied with my plan.,64
20,Female,Kerala,1,5,6,8,3,4,0.7,Poor network coverage indoors.,50
40,Female,Tamil Nadu,5,5,6,1,5,2,1.1,Internet is fast and reliable.,55
58,Female,Karnataka,5,6,10,6,9,7,0.9,Call quality could be better.,81
54,Female,Andhra Pradesh,3,4,10,7,3,2,7.7,Poor network coverage indoors.,60
36,Male,Telangana,3,10,10,6,10,3,0.6,Internet is fast and reliable.,96
31,Female,Kerala,3,5,1,8,2,5,2.9,App crashes during recharge.,26
33,Male,Karnataka,1,8,9,2,2,8,0.9,Customer support is very helpful.,67
26,Female,Karnataka,8,10,6,8,6,8,5.3,App crashes during recharge.,76
26,Female,Andhra Pradesh,10,3,6,2,6,4,9.7,Poor network coverage indoors.,47
21,Male,Andhra Pradesh,7,6,1,5,6,2,6.6,Call quality could be better.,44
46,Female,Telangana,10,6,1,1,4,7,7.2,Poor network coverage indoors.,39
48,Male,Kerala,9,9,10,8,9,2,4.8,App crashes during recharge.,89
61,Female,Kerala,7,2,2,1,1,2,8.7,Great experience overall.,14
59,Male,Kerala,9,10,6,1,1,8,4.8,App crashes during recharge.,59
64,Female,Karnataka,8,5,10,5,10,7,7.1,Signal drops frequently in my area.,80
26,Female,Tamil Nadu,7,1,10,1,7,2,2.0,"Good internet speed, even during peak hours.",61
25,Male,Andhra Pradesh,7,10,10,5,7,8,7.8,Customer support is very helpful.,85
52,Female,Tamil Nadu,3,6,10,8,1,2,2.9,"Good internet speed, even during peak hours.",54
65,Female,Karnataka,7,5,4,2,7,10,1.1,Signal drops frequently in my area.,51
20,Female,Kerala,3,8,1,7,1,6,2.5,Internet is fast and reliable.,36
21,Female,Karnataka,6,7,9,9,10,8,5.3,I am satisfied with my plan.,83
26,Female,Andhra Pradesh,1,5,1,3,2,3,9.7,Great experience overall.,30
65,Male,Tamil Nadu,10,1,6,8,1,10,9.3,Signal drops frequently in my area.,28
60,Male,Telangana,7,5,7,8,2,9,5.7,Call quality could be better.,51
31,Male,Karnataka,2,3,2,7,7,1,6.4,App crashes during recharge.,41
22,Male,Telangana,3,1,2,2,9,5,7.0,Great experience overall.,42
22,Male,Andhra Pradesh,6,4,8,3,6,7,9.5,The mobile app is slow to load.,63
45,Female,Tamil Nadu,7,6,8,3,3,9,4.3,The mobile app is slow to load.,56
